Dataset right,,Dataset left,
X,Y,X,Y
3.6565955220338936e-7,3.5000000000000018,1.6537183233953e-7,2.9563106796116516
3.761703969499403e-7,3.4417475728155353,1.7751324750017375e-7,2.868932038834952
3.9250586797523917e-7,3.3834951456310693,1.8261584682702645e-7,2.8203883495145643
4.0378840719932933e-7,3.3252427184466034,1.9054607179632522e-7,2.7621359223300983
4.15395261807543e-7,3.2669902912621374,1.960232982646281e-7,2.7233009708737876
4.334341009036629e-7,3.2087378640776714,2.0453575149074315e-7,2.665048543689321
4.5871026782343993e-7,3.1116504854368943,2.16463469648967e-7,2.5970873786407775
4.854604410865665e-7,3.033980582524273,2.2908676527677793e-7,2.5194174757281567
5.211024042668501e-7,2.917475728155341,2.45906059625066e-7,2.4320388349514572
5.514910407979502e-7,2.8398058252427196,2.639602077722306e-7,2.354368932038836
5.75439937337159e-7,2.7815533980582536,2.754228703338175e-7,2.3058252427184476
6.089973244419459e-7,2.71359223300971,2.956441097441259e-7,2.218446601941748
6.354434728591758e-7,2.6456310679611663,3.173499699587757e-7,2.140776699029127
6.630380643615176e-7,2.5873786407767003,3.455107294592232e-7,2.0533980582524283
7.321758239537165e-7,2.46116504854369,3.761703969499403e-7,1.9757281553398065
8.085228676856251e-7,2.354368932038836,3.9250586797523917e-7,1.9271844660194177
8.802689530262499e-7,2.257281553398059,4.273357542109333e-7,1.8495145631067968
9.448973160341286e-7,2.16990291262136,4.6525634831667524e-7,1.7718446601941755
0.0000010887372370134637,2.024271844660195,4.99414949579798e-7,1.7135922330097095
0.0000012194214950000032,1.9077669902912628,5.285388593079269e-7,1.6553398058252426
0.0000011360164374332851,1.975728155339807,5.919808968331418e-7,1.567961165048544
0.0000010142706212448592,2.1019417475728157,7.21874230227711e-7,1.4223300970873787
0.000001327629589221131,1.8300970873786415,7.859313548893406e-7,1.3640776699029127
0.0000015082090361779984,1.7233009708737868,9.055721899982229e-7,1.2766990291262141
0.0000016654763174440697,1.6359223300970878,0.000001073418882701355,1.1796116504854375
0.000001865388223953648,1.5485436893203888,0.000001168671108510355,1.1310679611650487
0.0000021191116846058088,1.4514563106796121,0.0000013089500587049165,1.0728155339805827
0.0000024417000252515775,1.3543689320388355,0.0000014454397707459339,1.0145631067961167
0.000003106759909833836,1.199029126213592,0.0000016892436991625936,0.9466019417475726
0.00000373514694648843,1.0970873786407767,0.000001865388223953648,0.8980582524271847
0.000004365158322401665,1.0145631067961167,0.0000021191116846058134,0.8398058252427187
0.000002734784293133363,1.2864077669902896,0.000002476544601505506,0.7815533980582519
0.000005248074602497744,0.9271844660194173,0.0000030630483075816378,0.7038834951456314
0.0000059618990133135675,0.8689320388349513,0.0000046197171357443234,0.5776699029126213
0.00000737381619196417,0.7815533980582519,0.000005475976030421977,0.5291262135922334
0.000009120108393559152,0.7038834951456314,0.00000837677640068296,0.4320388349514559
0.000012108125760193075,0.6116504854368934,0.000009516155683878993,0.40291262135922246
0.00001562594005252675,0.5388349514563107,0.000012108125760193075,0.35436893203883457
